,Date,Open,High,Low,Close*,Adj Close**,Volume
0,2020-04-10,0.83,1.31,0.69,0.95,0.95,87364276.0
1,2020-04-11,0.95,1.05,0.77,0.78,0.78,43862444.0
2,2020-04-12,0.79,0.96,0.76,0.88,0.88,38736897.0
3,2020-04-13,0.89,0.89,0.77,0.78,0.78,18211285.0
4,2020-04-14,0.78,0.8,0.63,0.66,0.66,16747614.0
5,2020-04-15,0.67,0.7,0.62,0.65,0.65,13075275.0
6,2020-04-16,0.63,0.77,0.63,0.69,0.69,21346031.0
7,2020-04-17,,,,,,
8,2020-04-18,0.66,0.72,0.66,0.68,0.68,9782112.0
9,2020-04-19,0.68,0.68,0.6,0.61,0.61,9289670.0
10,2020-04-20,0.61,0.64,0.52,0.54,0.54,8342616.0
11,2020-04-21,0.54,0.6,0.51,0.59,0.59,9711507.0
12,2020-04-22,0.58,0.71,0.57,0.69,0.69,18828400.0
13,2020-04-23,0.69,0.7,0.6,0.63,0.63,13485271.0
14,2020-04-24,0.62,0.67,0.61,0.63,0.63,9064190.0
15,2020-04-25,0.63,0.67,0.62,0.64,0.64,7311905.0
16,2020-04-26,0.65,0.69,0.63,0.64,0.64,8320760.0
17,2020-04-27,0.64,0.66,0.56,0.57,0.57,7406934.0
18,2020-04-28,0.58,0.69,0.57,0.66,0.66,7470201.0
19,2020-04-29,0.66,0.78,0.66,0.75,0.75,8801144.0
20,2020-04-30,0.75,0.8,0.69,0.69,0.69,5016892.0
21,2020-05-01,0.69,0.74,0.69,0.73,0.73,4164272.0
22,2020-05-02,0.73,0.75,0.71,0.72,0.72,3441356.0
23,2020-05-03,0.71,0.73,0.66,0.68,0.68,3328344.0
24,2020-05-04,0.68,0.71,0.62,0.67,0.67,3443698.0
25,2020-05-05,0.67,0.69,0.63,0.64,0.64,2847469.0
26,2020-05-06,0.64,0.67,0.62,0.62,0.62,2677563.0
27,2020-05-07,0.62,0.63,0.57,0.61,0.61,3355830.0
28,2020-05-08,0.61,0.64,0.59,0.6,0.6,2488195.0
29,2020-05-09,0.6,0.63,0.59,0.6,0.6,2128503.0
30,2020-05-10,0.6,0.61,0.51,0.54,0.54,2327581.0
31,2020-05-11,0.54,0.57,0.51,0.52,0.52,2098481.0
32,2020-05-12,0.51,0.56,0.51,0.54,0.54,2198625.0
33,2020-05-13,0.54,0.56,0.52,0.55,0.55,2326446.0
34,2020-05-14,0.55,0.58,0.55,0.57,0.57,2047897.0
35,2020-05-15,0.57,0.57,0.55,0.56,0.56,1850070.0
36,2020-05-16,0.56,0.61,0.55,0.6,0.6,2300409.0
37,2020-05-17,0.6,0.64,0.59,0.61,0.61,2936428.0
38,2020-05-18,0.61,0.67,0.61,0.65,0.65,3314359.0
39,2020-05-19,0.65,0.65,0.61,0.62,0.62,2380263.0
40,2020-05-20,0.62,0.63,0.58,0.58,0.58,2302926.0
41,2020-05-21,0.58,0.61,0.54,0.61,0.61,2863017.0
42,2020-05-22,0.61,0.68,0.58,0.64,0.64,3411419.0
43,2020-05-23,0.64,0.64,0.59,0.61,0.61,2638524.0
