,Date,Open,High,Low,Close*,Adj Close**,Volume
0,2014-09-17,0.0051,0.0058,0.0051,0.0054,0.0054,1281960.0
1,2014-09-18,0.0054,0.0055,0.0051,0.0051,0.0051,491147.0
2,2014-09-19,0.0051,0.0052,0.0049,0.0049,0.0049,407109.0
3,2014-09-20,0.0049,0.005,0.0047,0.0048,0.0048,322621.0
4,2014-09-21,0.0048,0.0048,0.0045,0.0046,0.0046,309571.0
5,2014-09-22,0.0046,0.0047,0.0045,0.0047,0.0047,267342.0
6,2014-09-23,0.0047,0.0047,0.0045,0.0046,0.0046,323106.0
7,2014-09-24,0.0046,0.0047,0.0045,0.0047,0.0047,349329.0
8,2014-09-25,0.0047,0.0049,0.0046,0.0047,0.0047,745348.0
9,2014-09-26,0.0047,0.0047,0.0046,0.0046,0.0046,497323.0
10,2014-09-27,0.0046,0.0047,0.0046,0.0047,0.0047,221573.0
11,2014-09-28,0.0047,0.0053,0.0047,0.0053,0.0053,464102.0
12,2014-09-29,0.0053,0.0054,0.0047,0.0047,0.0047,122073.0
13,2014-09-30,0.0047,0.0047,0.0046,0.0046,0.0046,109352.0
14,2014-10-01,0.0046,0.0048,0.0046,0.0048,0.0048,64998.0
15,2014-10-02,0.0048,0.0049,0.0048,0.0049,0.0049,209158.0
16,2014-10-03,0.0049,0.005,0.0049,0.005,0.005,264083.0
17,2014-10-04,0.005,0.0052,0.0049,0.0049,0.0049,168516.0
18,2014-10-05,0.0049,0.005,0.0047,0.0048,0.0048,181316.0
19,2014-10-06,0.0048,0.0048,0.0047,0.0047,0.0047,218684.0
20,2014-10-07,0.0047,0.0048,0.0047,0.0048,0.0048,136439.0
21,2014-10-08,0.0048,0.0048,0.0047,0.0048,0.0048,398026.0
22,2014-10-09,0.0048,0.0049,0.0048,0.0048,0.0048,214591.0
23,2014-10-10,0.0048,0.0049,0.0048,0.0049,0.0049,140436.0
24,2014-10-11,0.0049,0.0049,0.0047,0.0048,0.0048,263175.0
25,2014-10-12,0.0048,0.0049,0.0047,0.0049,0.0049,272667.0
26,2014-10-13,0.0049,0.0049,0.0047,0.0048,0.0048,463679.0
27,2014-10-14,0.0048,0.0049,0.0048,0.0049,0.0049,231490.0
28,2014-10-15,0.0049,0.0049,0.0048,0.0048,0.0048,235627.0
29,2014-10-16,0.0048,0.0049,0.0048,0.0049,0.0049,119623.0
30,2014-10-17,0.0049,0.0049,0.0048,0.0049,0.0049,245692.0
31,2014-10-18,0.0049,0.005,0.0049,0.005,0.005,69145.0
32,2014-10-19,0.005,0.005,0.0049,0.0049,0.0049,55748.0
33,2014-10-20,0.0049,0.0051,0.0049,0.0051,0.0051,295888.0
34,2014-10-21,0.0051,0.0052,0.0051,0.0052,0.0052,146796.0
35,2014-10-22,0.0052,0.0052,0.0052,0.0052,0.0052,107561.0
36,2014-10-23,0.0052,0.0052,0.0051,0.0051,0.0051,378216.0
37,2014-10-24,0.0051,0.0052,0.0051,0.0051,0.0051,282070.0
38,2014-10-25,0.0051,0.0051,0.0047,0.0047,0.0047,272566.0
39,2014-10-26,0.0047,0.0047,0.0045,0.0045,0.0045,440679.0
40,2014-10-27,0.0045,0.0049,0.0045,0.0049,0.0049,299518.0
41,2014-10-28,0.0049,0.0049,0.0046,0.0048,0.0048,272894.0
42,2014-10-29,0.0048,0.0048,0.0047,0.0048,0.0048,346606.0
43,2014-10-30,0.0048,0.0049,0.0048,0.0049,0.0049,220063.0
44,2014-10-31,0.0049,0.0049,0.0048,0.0049,0.0049,151046.0
45,2014-11-01,0.0049,0.0049,0.0046,0.0047,0.0047,190204.0
46,2014-11-02,0.0047,0.0047,0.0046,0.0047,0.0047,119913.0
47,2014-11-03,0.0047,0.0048,0.0047,0.0048,0.0048,212517.0
48,2014-11-04,0.0048,0.0049,0.0048,0.0048,0.0048,276134.0
49,2014-11-05,0.0048,0.0049,0.0048,0.0049,0.0049,309820.0
50,2014-11-06,0.0049,0.0049,0.0048,0.0049,0.0049,416386.0
51,2014-11-07,0.0049,0.0049,0.0049,0.0049,0.0049,434075.0
52,2014-11-08,0.0049,0.0049,0.0049,0.0049,0.0049,143181.0
53,2014-11-09,0.0049,0.0049,0.0049,0.0049,0.0049,240824.0
54,2014-11-10,0.0049,0.005,0.0049,0.0049,0.0049,545390.0
55,2014-11-11,0.0049,0.0049,0.0049,0.0049,0.0049,781614.0
56,2014-11-12,0.0049,0.0052,0.0049,0.0051,0.0051,447173.0
57,2014-11-13,0.0051,0.0053,0.0049,0.005,0.005,486595.0
58,2014-11-14,0.005,0.0052,0.0049,0.0052,0.0052,300910.0
59,2014-11-15,0.0052,0.0052,0.005,0.0051,0.0051,116803.0
60,2014-11-16,0.005,0.0052,0.005,0.0052,0.0052,78345.0
61,2014-11-17,0.0052,0.0054,0.0052,0.0053,0.0053,431359.0
62,2014-11-18,0.0053,0.0054,0.0053,0.0054,0.0054,454544.0
63,2014-11-19,0.0054,0.0057,0.0054,0.0057,0.0057,434916.0
64,2014-11-20,0.0057,0.0061,0.0057,0.0061,0.0061,932564.0
65,2014-11-21,0.0061,0.0066,0.006,0.0066,0.0066,720035.0
66,2014-11-22,0.0066,0.0078,0.0066,0.0077,0.0077,1123560.0
67,2014-11-23,0.0077,0.0088,0.0077,0.0086,0.0086,1288050.0
68,2014-11-24,0.0086,0.0088,0.0084,0.0086,0.0086,836154.0
69,2014-11-25,0.0086,0.0098,0.0086,0.0097,0.0097,2617990.0
70,2014-11-26,0.0097,0.011,0.0097,0.011,0.011,2382860.0
71,2014-11-27,0.011,0.0142,0.011,0.0142,0.0142,5355350.0
72,2014-11-28,0.0142,0.0153,0.0138,0.0152,0.0152,2815520.0
73,2014-11-29,0.0152,0.0152,0.014,0.014,0.014,1878500.0
74,2014-11-30,0.014,0.014,0.0112,0.0112,0.0112,2857340.0
75,2014-12-01,0.0112,0.0126,0.0081,0.0126,0.0126,3453750.0
76,2014-12-02,0.0126,0.0133,0.0126,0.0132,0.0132,2206040.0
77,2014-12-03,0.0132,0.0132,0.0129,0.0131,0.0131,1063000.0
78,2014-12-04,0.0131,0.0133,0.0131,0.0133,0.0133,2363160.0
79,2014-12-05,0.0133,0.0138,0.0133,0.0138,0.0138,1281290.0
80,2014-12-06,0.0138,0.0144,0.0137,0.0144,0.0144,1402450.0
81,2014-12-07,0.0144,0.0148,0.0144,0.0148,0.0148,935386.0
82,2014-12-08,0.0148,0.0152,0.0132,0.0134,0.0134,2568380.0
83,2014-12-09,0.0134,0.0151,0.0133,0.0151,0.0151,1621600.0
84,2014-12-10,0.0151,0.0159,0.015,0.0159,0.0159,1116220.0
85,2014-12-11,0.0159,0.0164,0.0158,0.0164,0.0164,1620910.0
86,2014-12-12,0.0164,0.0164,0.0164,0.0164,0.0164,1620910.0
87,2014-12-13,0.0164,0.0172,0.0164,0.017,0.017,1210950.0
88,2014-12-14,0.017,0.0172,0.017,0.0171,0.0171,431814.0
89,2014-12-15,0.0171,0.0182,0.0171,0.0182,0.0182,2633740.0
90,2014-12-16,0.0182,0.0217,0.0182,0.0215,0.0215,6249780.0
91,2014-12-17,0.0216,0.0261,0.0215,0.0261,0.0261,5981140.0
92,2014-12-18,0.026,0.028,0.0255,0.0279,0.0279,4016710.0
93,2014-12-19,0.028,0.028,0.0233,0.0233,0.0233,6254590.0
94,2014-12-20,0.0234,0.0242,0.0226,0.0242,0.0242,3224770.0
95,2014-12-21,0.0242,0.0252,0.0242,0.0249,0.0249,1523180.0
96,2014-12-22,0.0249,0.0257,0.0249,0.0256,0.0256,2150370.0
97,2014-12-23,0.0256,0.0256,0.0239,0.0239,0.0239,2778770.0
98,2014-12-24,0.0238,0.0239,0.0232,0.0234,0.0234,1428390.0
99,2014-12-25,0.0234,0.0241,0.0234,0.0241,0.0241,1234800.0
100,2014-12-26,0.0241,0.0254,0.0241,0.0253,0.0253,2011780.0
101,2014-12-27,0.0253,0.0253,0.0241,0.0241,0.0241,837992.0
102,2014-12-28,0.0241,0.0242,0.0236,0.0238,0.0238,1005650.0
103,2014-12-29,0.0238,0.0243,0.0238,0.0242,0.0242,1145800.0
104,2014-12-30,0.0242,0.0243,0.024,0.0242,0.0242,795505.0
105,2014-12-31,0.0242,0.0244,0.0242,0.0244,0.0244,640940.0
106,2015-01-01,0.0245,0.0245,0.0242,0.0244,0.0244,399022.0
107,2015-01-02,0.0244,0.0244,0.0243,0.0243,0.0243,459956.0
108,2015-01-03,0.0243,0.0243,0.0221,0.0221,0.0221,2171040.0
109,2015-01-04,0.0221,0.0221,0.0188,0.0189,0.0189,3801010.0
110,2015-01-05,0.0189,0.0203,0.0189,0.0203,0.0203,3051930.0
111,2015-01-06,0.0203,0.0207,0.0203,0.0207,0.0207,1752160.0
112,2015-01-07,0.0207,0.0209,0.0205,0.0208,0.0208,787462.0
113,2015-01-08,0.0208,0.0209,0.0207,0.0207,0.0207,823446.0
114,2015-01-09,0.0206,0.0207,0.0205,0.0206,0.0206,1092300.0
115,2015-01-10,0.0206,0.0206,0.0192,0.0192,0.0192,1550330.0
116,2015-01-11,0.0192,0.0193,0.0188,0.0188,0.0188,558120.0
117,2015-01-12,0.0188,0.0189,0.0184,0.0184,0.0184,560642.0
118,2015-01-13,0.0184,0.0208,0.0156,0.0156,0.0156,3113440.0
119,2015-01-14,0.0156,0.0223,0.0141,0.0142,0.0142,1886420.0
120,2015-01-15,0.0142,0.0165,0.0142,0.0164,0.0164,2285810.0
121,2015-01-16,0.0164,0.0171,0.0164,0.0164,0.0164,1651550.0
122,2015-01-17,0.0164,0.0164,0.0154,0.0154,0.0154,737736.0
123,2015-01-18,0.0154,0.0158,0.0151,0.0156,0.0156,1170730.0
124,2015-01-19,0.0157,0.016,0.0157,0.016,0.016,1093540.0
125,2015-01-20,0.0159,0.0161,0.0159,0.0161,0.0161,1029700.0
126,2015-01-21,0.0161,0.0167,0.0161,0.0167,0.0167,1141990.0
127,2015-01-22,0.0167,0.017,0.0167,0.017,0.017,1105630.0
128,2015-01-23,0.017,0.017,0.0167,0.0167,0.0167,1080800.0
129,2015-01-24,0.0167,0.0169,0.0166,0.0167,0.0167,945649.0
